haskell-path-pieces 0.2.1-23
haskell-pem 0.2.4-85
haskell-persistent 2.10.5.2-49
haskell-persistent-sqlite 2.10.6.2-77
haskell-persistent-template 2.8.2.3-54
haskell-primitive 0.7.0.1-2
haskell-process-extras 0.7.4-95
haskell-profunctors 5.5.2-12
haskell-project-template 0.2.0.1-236
haskell-psqueues 0.2.7.2-30
haskell-quickcheck 2.14-10
haskell-random 1.1-21
haskell-regex-applicative 0.3.3.1-5
haskell-regex-applicative-text 0.1.0.1-20
haskell-regex-base 0.94.0.0-4
haskell-regex-tdfa 1.3.1.0-4
haskell-resource-pool 0.2.3.2-100
haskell-resourcet 1.2.4.1-2
haskell-retry 0.8.1.2-12
haskell-rio 0.1.17.0-2
haskell-rio-orphans 0.1.1.0-127
haskell-rio-prettyprint 0.1.0.0-76
haskell-safe 0.3.19-1
haskell-safe-exceptions 0.1.7.0-77
haskell-scientific 0.3.6.2-23
haskell-semigroupoids 5.3.4-31
haskell-shelly 1.8.1-113
haskell-silently 1.2.5.1-6
haskell-simple-sendfile 0.2.30-65
haskell-socks 0.6.1-28
haskell-split 0.2.3.4-30
haskell-splitmix 0.0.5-2
haskell-src-exts 1.23.1-5
haskell-statevar 1.2-2
haskell-stm-chans 3.0.0.4-20
haskell-storable-record 0.0.5-2
haskell-storable-tuple 0.0.3.3-75
haskell-streaming-commons 0.2.1.2-22
haskell-syb 0.7.1-5
haskell-system-fileio 0.3.16.4-48
haskell-system-filepath 0.4.14-53
haskell-tagged 0.8.6-10
haskell-tagsoup 0.14.8-33
haskell-tar 0.5.1.1-5
haskell-tar-conduit 0.3.2-83
haskell-temporary 1.3-69
haskell-terminal-size 0.3.2.1-17
haskell-text-metrics 0.3.0-56
haskell-th-abstraction 0.3.2.0-4
haskell-th-expand-syns 0.4.6.0-2
haskell-th-lift 0.8.1-5
haskell-th-lift-instances 0.1.17-2
haskell-th-orphans 0.13.10-9
haskell-th-reify-many 0.1.9-11
haskell-th-utilities 0.2.4.0-10
haskell-these 1.1-2
haskell-time-compat 1.9.3-7
haskell-time-manager 0.0.0-60
haskell-tls 1.5.4-15
haskell-tls-session-manager 0.0.4-52
haskell-transformers-base 0.4.5.2-68
haskell-transformers-compat 0.6.5-5
haskell-type-equality 1-5
haskell-typed-process 0.2.6.0-32
haskell-unicode-transforms 0.3.6-5
haskell-uniplate 1.6.12-77
haskell-unix-compat 0.5.2-5
haskell-unix-time 0.4.7-35
haskell-unliftio 0.2.13-3
haskell-unliftio-core 0.2.0.1-2
haskell-unordered-containers 0.2.11.0-1
haskell-utf8-string 1.0.1.1-17
haskell-utility-ht 0.0.15-2
haskell-uuid-types 1.0.3-29
haskell-vault 0.3.1.4-6
haskell-vector 0.12.1.2-23
haskell-vector-algorithms 0.8.0.3-21
haskell-vector-binary-instances 0.2.5.1-46
haskell-void 0.7.3-10
haskell-wai 3.2.2.1-63
haskell-wai-extra 3.0.29.2-14
haskell-wai-logger 2.3.6-92
haskell-warp 3.3.12-24
haskell-warp-tls 3.2.12-16
haskell-word8 0.1.3-15
haskell-x509 1.7.5-62
haskell-x509-store 1.6.7-61
haskell-x509-system 1.6.6-129
haskell-x509-validation 1.6.11-61
haskell-xss-sanitize 0.3.6-143
haskell-yaml 0.11.4.0-19
haskell-zip-archive 0.4.1-36
haskell-zlib 0.6.2.1-5
hdparm 9.58-3
herbstluftwm 0.8.3-1
heroku-cli 7.39.2-1
hicolor-icon-theme 0.17-2
hiredis 0.14.1-1
hoogle 5.0.17.15-74
hsetroot 1.0.5-1
hspell 1.4-3
htop 2.2.0-3
http-parser 2.9.4-1
hugo 0.72.0-1
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3-gaps-next-git 4.17.1.r123.g2906573a-1
i3blocks 1.5-3
i3lock 2.12-1
i3status 2.13-2
iana-etc 20200601-1
icu 67.1-1
idris 1.3.3-23
ijs 0.35-3
imagemagick 7.0.10.19-1
imake 1.0.8-2
imlib2 1.6.1-2
inetutils 1.9.4-8
iniparser 4.1-2
intel-gmmlib 20.1.1-1
